age,sex,race,marital_status,relationship,functional_weight,education,workclass,occupation,capital_gain,capital_loss,hours_per_week,country_name,target
21, Male, White, Never-married, Unmarried,190227, HS-grad, Private, Adm-clerical,0,0,40, United-States,0
41, Male, White, Married-civ-spouse, Husband,67065, Assoc-voc, Private, Sales,0,0,40, United-States,0
21, Female, White, Never-married, Not-in-family,96844, Some-college, Private, Adm-clerical,0,0,20, United-States,0
75, Male, Asian-Pac-Islander, Widowed, Other-relative,81534, HS-grad, Self-emp-inc, Sales,0,0,35, United-States,1
47, Male, White, Married-civ-spouse, Husband,148884, HS-grad, Private, Transport-moving,0,0,60, United-States,0
40, Female, White, Divorced, Not-in-family,197012, Bachelors, Local-gov, Tech-support,8614,0,40, England,1
49, Female, White, Married-civ-spouse, Wife,266150, HS-grad, Private, Machine-op-inspct,0,0,40, United-States,0
24, Female, White, Never-married, Not-in-family,103064, Bachelors, Private, Prof-specialty,0,0,40, United-States,0
20, Male, White, Never-married, Own-child,278155, Some-college, Private, Adm-clerical,0,0,40, United-States,0
28, Male, White, Never-married, Own-child,159001, HS-grad, Private, Handlers-cleaners,0,0,30, United-States,0
53, Male, Black, Married-civ-spouse, Husband,208321, HS-grad, Private, Other-service,0,1740,40, United-States,0
28, Female, White, Never-married, Unmarried,66434, 10th, Private, Other-service,0,0,15, United-States,0
24, Male, White, Never-married, Not-in-family,232918, Bachelors, State-gov, Prof-specialty,0,0,20, United-States,0
43, Male, White, Married-civ-spouse, Husband,260960, Bachelors, State-gov, Prof-specialty,0,0,50, United-States,0
30, Male, White, Married-civ-spouse, Husband,45796, Some-college, Self-emp-not-inc, Machine-op-inspct,0,0,40, United-States,0
45, Male, White, Married-civ-spouse, Husband,252079, Some-college, Private, Prof-specialty,0,0,50, United-States,1
24, Female, White, Never-married, Not-in-family,215251, Bachelors, Private, Exec-managerial,0,0,50, United-States,0
34, Female, Black, Separated, Unmarried,184147, HS-grad, Private, Sales,0,0,20, United-States,0
31, Male, White, Never-married, Not-in-family,218322, Some-college, Private, Other-service,0,0,30, United-States,0
29, Male, White, Never-married, Not-in-family,48895, HS-grad, Private, Craft-repair,0,0,50, United-States,0
46, Male, White, Married-civ-spouse, Husband,249935, Doctorate, Private, Prof-specialty,0,0,70, United-States,0
20, Female, White, Never-married, Unmarried,137300, Assoc-voc, Private, Machine-op-inspct,0,0,40, United-States,0
38, Male, Black, Widowed, Unmarried,254439, 10th, Private, Transport-moving,114,0,40, United-States,0
68, Female, White, Widowed, Unmarried,223486, HS-grad, Private, Other-service,0,0,7, England,0
27, Male, White, Married-civ-spouse, Husband,120126, Bachelors, Self-emp-inc, Exec-managerial,0,1887,45, United-States,1
34, Male, White, Married-civ-spouse, Husband,177675, Bachelors, Local-gov, Exec-managerial,0,0,55, United-States,1
25, Female, White, Never-married, Not-in-family,234057, HS-grad, Private, Craft-repair,0,0,40, United-States,0
26, Male, White, Never-married, Own-child,164386, HS-grad, Private, Craft-repair,0,0,48, United-States,0
36, Male, White, Married-civ-spouse, Husband,117381, HS-grad, Private, Machine-op-inspct,0,0,40, United-States,0
33, Male, White, Married-civ-spouse, Husband,279173, HS-grad, Private, Prof-specialty,0,0,60, United-States,0
37, Male, White, Never-married, Not-in-family,116960, Bachelors, Private, Prof-specialty,0,0,45, United-States,1
28, Male, White, Never-married, Own-child,115549, Some-college, Private, Machine-op-inspct,0,0,60, United-States,0
21, Female, White, Never-married, Unmarried,356772, HS-grad, ?, ?,0,0,40, United-States,0
24, Female, White, Never-married, Unmarried,188300, 11th, Private, Machine-op-inspct,0,0,40, United-States,0
40, Male, White, Married-civ-spouse, Husband,99185, Bachelors, Self-emp-inc, Prof-specialty,0,0,60, United-States,0
60, Male, Asian-Pac-Islander, Married-civ-spouse, Husband,85995, Masters, Private, Adm-clerical,0,0,50, South,1
32, Female, White, Never-married, Not-in-family,211028, Some-college, Private, Adm-clerical,0,0,40, United-States,0
22, Female, White, Never-married, Own-child,289982, Bachelors, Local-gov, Prof-specialty,0,0,35, United-States,0
59, Male, White, Married-civ-spouse, Husband,52822, Bachelors, Self-emp-inc, Craft-repair,0,0,60, United-States,0
31, Male, White, Married-civ-spouse, Husband,236599, Bachelors, Private, Exec-managerial,0,0,45, United-States,1
34, Male, White, Married-civ-spouse, Husband,107793, HS-grad, Private, Craft-repair,0,0,40, Germany,1
51, Female, White, Divorced, Unmarried,194259, Bachelors, Private, Tech-support,0,0,40, United-States,0
35, Male, White, Married-civ-spouse, Husband,161141, HS-grad, Private, Machine-op-inspct,0,0,40, United-States,0
56, Female, White, Divorced, Not-in-family,435836, Masters, Local-gov, Prof-specialty,0,0,40, United-States,0
35, Male, White, Married-civ-spouse, Husband,110402, 11th, Private, Sales,0,0,35, United-States,0
40, Female, White, Never-married, Own-child,264663, Bachelors, Private, Prof-specialty,0,0,60, United-States,0
42, Female, White, Never-married, Unmarried,191149, Masters, Local-gov, Prof-specialty,0,0,40, United-States,0
40, Male, White, Married-civ-spouse, Husband,188436, Some-college, Local-gov, Protective-serv,7298,0,40, United-States,1
46, Female, White, Married-civ-spouse, Own-child,428350, HS-grad, Private, Other-service,0,0,15, United-States,0
63, Female, White, Widowed, Not-in-family,216413, Bachelors, Private, Adm-clerical,0,0,25, United-States,0
37, Male, White, Married-civ-spouse, Husband,173968, HS-grad, Private, Transport-moving,0,0,40, United-States,0
25, Male, White, Never-married, Own-child,176162, Assoc-voc, Local-gov, Protective-serv,0,0,30, United-States,0
31, Male, White, Never-married, Not-in-family,227325, Some-college, Private, Craft-repair,0,0,40, United-States,0
44, Male, White, Married-civ-spouse, Husband,214242, Some-college, Private, Transport-moving,0,0,50, United-States,1
55, Male, White, Married-civ-spouse, Husband,175127, Bachelors, State-gov, Adm-clerical,7688,0,38, United-States,1
62, Female, White, Widowed, Other-relative,136684, HS-grad, Self-emp-not-inc, Adm-clerical,0,0,30, United-States,0
28, Male, White, Married-civ-spouse, Husband,183151, 11th, Private, Handlers-cleaners,7688,0,40, United-States,1
32, Male, White, Married-civ-spouse, Husband,281437, Some-college, Private, Transport-moving,0,0,55, United-States,0
21, Female, White, Never-married, Own-child,211301, Some-college, Private, Adm-clerical,0,0,8, United-States,0
45, Female, White, Divorced, Unmarried,97176, 11th, Private, Adm-clerical,0,0,16, United-States,0
59, Male, White, Married-civ-spouse, Husband,75867, Masters, Private, Prof-specialty,0,0,60, United-States,0
32, Male, White, Never-married, Own-child,172714, HS-grad, Private, Craft-repair,0,0,40, United-States,0
