age,sex,race,marital_status,relationship_label,relationship,functional_weight,education,education_num,workclass,occupation,capital_gain,capital_loss,hours_per_week,native_country,country_name,target
25, Female, White, Married-spouse-absent,4, Unmarried,35854, Some-college,10, Private, Sales,0,0,40,39, United-States,0
36, Male, White, Married-civ-spouse,0, Husband,218015, Some-college,10, Private, Machine-op-inspct,0,0,48,39, United-States,0
74, Female, White, Widowed,1, Not-in-family,129879, HS-grad,9, Private, Adm-clerical,15831,0,40,39, United-States,1
41, Male, White, Married-civ-spouse,0, Husband,57233, Bachelors,13, Private, Sales,0,0,70,39, United-States,0
32, Male, White, Divorced,3, Own-child,213179, Some-college,10, Private, Craft-repair,0,0,40,39, United-States,1
17, Female, White, Never-married,3, Own-child,187539, 11th,7, ?, ?,0,0,10,39, United-States,0
28, Male, White, Married-civ-spouse,0, Husband,356555, Some-college,10, Private, Exec-managerial,0,0,48,39, United-States,0
52, Male, White, Married-civ-spouse,0, Husband,259363, HS-grad,9, Private, Craft-repair,0,0,50,39, United-States,1
21, Male, White, Never-married,3, Own-child,89154, 11th,7, Private, Other-service,0,0,42,8, El-Salvador,0
37, Male, Black, Divorced,1, Not-in-family,354929, Assoc-acdm,12, State-gov, Protective-serv,0,0,38,39, United-States,0
35, Female, White, Never-married,1, Not-in-family,283305, Bachelors,13, Private, Exec-managerial,0,0,40,39, United-States,0
36, Male, White, Divorced,4, Unmarried,31438, HS-grad,9, Private, Transport-moving,0,0,43,0, ?,0
27, Male, White, Never-married,1, Not-in-family,166350, HS-grad,9, Private, Sales,0,0,50,39, United-States,0
35, Female, White, Divorced,1, Not-in-family,270572, Bachelors,13, Private, Prof-specialty,0,0,40,39, United-States,1
19, Male, White, Never-married,3, Own-child,71650, HS-grad,9, Private, Farming-fishing,0,0,40,39, United-States,0
18, Male, White, Never-married,3, Own-child,110230, 10th,6, Private, Other-service,0,0,11,39, United-States,0
51, Male, White, Divorced,1, Not-in-family,311569, HS-grad,9, Self-emp-not-inc, Sales,0,0,40,39, United-States,0
37, Male, White, Married-civ-spouse,0, Husband,278632, 9th,5, Private, Transport-moving,0,0,40,39, United-States,0
34, Male, White, Never-married,1, Not-in-family,319854, Doctorate,16, Private, Prof-specialty,0,0,40,36, Taiwan,1
19, Female, White, Never-married,3, Own-child,197384, Some-college,10, Private, Other-service,0,0,10,39, United-States,0
48, Male, White, Married-civ-spouse,0, Husband,266764, Some-college,10, Private, Craft-repair,0,0,45,39, United-States,1
51, Male, White, Married-civ-spouse,0, Husband,241843, Preschool,1, Local-gov, Other-service,0,0,40,39, United-States,0
26, Male, White, Married-civ-spouse,0, Husband,213625, Assoc-acdm,12, Private, Sales,0,0,40,39, United-States,0
50, Male, White, Divorced,1, Not-in-family,204447, Some-college,10, Self-emp-inc, Protective-serv,0,0,40,39, United-States,0
31, Male, White, Never-married,1, Not-in-family,212235, Some-college,10, Private, Sales,0,0,45,39, United-States,0
72, Male, White, Divorced,1, Not-in-family,158092, Bachelors,13, Private, Sales,0,0,30,39, United-States,0
38, Male, White, Married-civ-spouse,0, Husband,229009, HS-grad,9, Private, Other-service,0,0,45,39, United-States,0
59, Female, White, Widowed,1, Not-in-family,294395, Masters,14, Private, Prof-specialty,0,0,40,39, United-States,0
24, Male, White, Married-civ-spouse,0, Husband,216469, HS-grad,9, Private, Machine-op-inspct,0,1579,50,39, United-States,0
49, Male, White, Married-civ-spouse,0, Husband,176814, Some-college,10, Private, Craft-repair,0,0,50,2, Canada,0
20, Male, White, Never-married,3, Own-child,175069, Some-college,10, Private, Adm-clerical,0,0,40,41, Yugoslavia,0
57, Male, White, Married-civ-spouse,0, Husband,127728, Bachelors,13, Private, Exec-managerial,15024,0,50,39, United-States,1
44, Male, White, Divorced,1, Not-in-family,302424, HS-grad,9, Private, Machine-op-inspct,0,0,55,39, United-States,0
29, Male, White, Married-civ-spouse,0, Husband,194940, Bachelors,13, Private, Exec-managerial,0,0,40,39, United-States,0
42, Male, White, Married-civ-spouse,0, Husband,120837, HS-grad,9, Self-emp-not-inc, Craft-repair,0,2042,48,39, United-States,0
47, Male, White, Married-civ-spouse,0, Husband,78529, Bachelors,13, Private, Sales,0,0,60,39, United-States,1
68, Male, White, Married-civ-spouse,0, Husband,255276, Some-college,10, ?, ?,0,0,48,39, United-States,1
53, Male, Black, Never-married,1, Not-in-family,226135, 9th,5, Private, Craft-repair,0,0,40,23, Jamaica,0
18, Female, White, Never-married,3, Own-child,267399, 12th,8, ?, ?,0,0,12,39, United-States,0
28, Male, White, Never-married,1, Not-in-family,209205, Bachelors,13, Private, Prof-specialty,0,0,60,39, United-States,1
31, Male, Black, Never-married,1, Not-in-family,219883, HS-grad,9, Local-gov, Protective-serv,0,0,40,39, United-States,0
39, Female, White, Never-married,1, Not-in-family,286261, Masters,14, Self-emp-inc, Prof-specialty,0,0,40,39, United-States,0
50, Female, Black, Separated,4, Unmarried,92969, 1st-4th,2, Private, Prof-specialty,0,0,40,39, United-States,0
62, Female, White, Married-civ-spouse,5, Wife,155094, Assoc-voc,11, Private, Exec-managerial,0,0,45,39, United-States,1
43, Male, White, Married-civ-spouse,0, Husband,180096, Assoc-voc,11, Private, Craft-repair,0,0,50,39, United-States,1
26, Male, White, Never-married,1, Not-in-family,189590, Some-college,10, Private, Adm-clerical,0,0,30,39, United-States,0
42, Female, White, Divorced,3, Own-child,192397, Some-college,10, State-gov, Adm-clerical,0,0,38,39, United-States,0
18, Female, White, Never-married,3, Own-child,171088, Some-college,10, Private, Sales,0,0,10,39, United-States,0
52, Female, White, Married-civ-spouse,5, Wife,198262, HS-grad,9, Without-pay, Adm-clerical,0,0,30,39, United-States,0
36, Male, White, Married-civ-spouse,0, Husband,321274, Bachelors,13, Self-emp-not-inc, Farming-fishing,0,0,50,39, United-States,0
25, Female, Black, Never-married,2, Other-relative,397962, HS-grad,9, Private, Adm-clerical,0,0,40,39, United-States,0
23, Female, White, Never-married,1, Not-in-family,250037, Some-college,10, Private, Farming-fishing,0,0,50,39, United-States,0
30, Male, White, Never-married,3, Own-child,329425, Some-college,10, Private, Protective-serv,0,0,48,39, United-States,0
44, Male, White, Divorced,3, Own-child,157614, HS-grad,9, Private, Sales,0,0,38,39, United-States,0
41, Male, White, Married-civ-spouse,0, Husband,113324, HS-grad,9, Private, Handlers-cleaners,0,0,40,39, United-States,0
24, Male, Amer-Indian-Eskimo, Never-married,4, Unmarried,259351, Some-college,10, Private, Craft-repair,0,0,40,26, Mexico,0
49, Male, White, Married-civ-spouse,0, Husband,233639, 11th,7, Private, Other-service,0,0,50,39, United-States,0
46, Female, White, Divorced,4, Unmarried,133616, Some-college,10, Private, Adm-clerical,0,0,40,39, United-States,0
60, Female, White, Married-spouse-absent,4, Unmarried,184242, HS-grad,9, Private, Other-service,0,0,20,39, United-States,0
49, Male, White, Married-civ-spouse,0, Husband,65087, Masters,14, Private, Exec-managerial,15024,0,50,39, United-States,1
31, Male, White, Divorced,1, Not-in-family,133861, Assoc-acdm,12, Private, Exec-managerial,0,0,40,39, United-States,0
54, Male, White, Married-civ-spouse,0, Husband,172281, HS-grad,9, Private, Transport-moving,0,2051,50,39, United-States,0
31, Male, White, Married-civ-spouse,0, Husband,181091, Bachelors,13, Private, Sales,0,0,40,39, United-States,1
43, Male, White, Married-civ-spouse,0, Husband,198316, Bachelors,13, Self-emp-inc, Exec-managerial,0,0,50,39, United-States,1
48, Male, White, Married-civ-spouse,0, Husband,216999, HS-grad,9, Private, Craft-repair,0,0,40,39, United-States,1
37, Female, White, Married-spouse-absent,1, Not-in-family,176293, Some-college,10, Private, Prof-specialty,0,0,30,39, United-States,0
18, Male, White, Never-married,3, Own-child,196061, Some-college,10, ?, ?,0,0,33,39, United-States,0
52, Male, White, Married-civ-spouse,0, Husband,110748, Masters,14, Private, Prof-specialty,0,0,50,39, United-States,1
54, Female, White, Never-married,1, Not-in-family,425804, Some-college,10, Private, Exec-managerial,0,0,45,39, United-States,1
24, Male, White, Never-married,3, Own-child,121313, Some-college,10, Private, Transport-moving,0,0,50,39, United-States,0
43, Male, White, Married-civ-spouse,0, Husband,243432, HS-grad,9, Self-emp-not-inc, Craft-repair,0,0,60,39, United-States,0
38, Male, White, Married-civ-spouse,0, Husband,132879, HS-grad,9, Private, Craft-repair,7298,0,50,39, United-States,1
20, Female, White, Never-married,3, Own-child,205970, Some-college,10, Private, Craft-repair,0,0,25,39, United-States,0
36, Male, White, Married-civ-spouse,0, Husband,185099, Prof-school,15, Private, Prof-specialty,0,0,55,39, United-States,1
51, Female, White, Widowed,4, Unmarried,68882, 1st-4th,2, Private, Other-service,0,0,35,32, Portugal,0
70, Male, White, Married-civ-spouse,0, Husband,282642, HS-grad,9, Private, Handlers-cleaners,0,2174,40,39, United-States,1
35, Male, White, Never-married,3, Own-child,199753, HS-grad,9, Private, Machine-op-inspct,0,0,48,39, United-States,0
36, Male, White, Married-civ-spouse,0, Husband,103605, HS-grad,9, Private, Handlers-cleaners,0,0,40,39, United-States,0
64, Male, White, Married-civ-spouse,0, Husband,181232, 11th,7, Private, Craft-repair,0,2179,40,39, United-States,0
54, Male, White, Married-civ-spouse,0, Husband,75235, HS-grad,9, Federal-gov, Exec-managerial,5178,0,40,39, United-States,1
36, Male, White, Married-civ-spouse,0, Husband,201117, Bachelors,13, Private, Exec-managerial,0,0,50,39, United-States,0
63, Male, Black, Married-civ-spouse,0, Husband,225102, HS-grad,9, Private, Handlers-cleaners,0,0,40,0, ?,0
54, Female, Black, Divorced,1, Not-in-family,50385, Bachelors,13, Private, Exec-managerial,0,0,45,39, United-States,1
29, Male, White, Never-married,1, Not-in-family,189565, HS-grad,9, Private, Exec-managerial,2174,0,50,39, United-States,0
23, Female, White, Married-civ-spouse,5, Wife,209034, HS-grad,9, Private, Machine-op-inspct,3942,0,40,39, United-States,0
43, Female, White, Separated,1, Not-in-family,172364, HS-grad,9, Private, Exec-managerial,0,0,48,39, United-States,0
24, Female, White, Never-married,3, Own-child,212210, Assoc-acdm,12, Local-gov, Adm-clerical,0,0,20,0, ?,0
38, Female, White, Separated,4, Unmarried,122952, HS-grad,9, Private, Craft-repair,0,0,35,39, United-States,0
40, Male, White, Married-civ-spouse,0, Husband,240504, Assoc-acdm,12, Local-gov, Exec-managerial,0,0,40,39, United-States,1
37, Female, White, Never-married,1, Not-in-family,188503, Bachelors,13, Private, Adm-clerical,0,0,35,39, United-States,0
41, Male, White, Married-civ-spouse,0, Husband,194636, Assoc-voc,11, Private, Machine-op-inspct,0,0,40,39, United-States,0
37, Male, White, Divorced,4, Unmarried,257042, HS-grad,9, Private, Craft-repair,1506,0,40,39, United-States,0
50, Female, White, Divorced,4, Unmarried,128814, HS-grad,9, Private, Other-service,0,0,25,39, United-States,0
19, Female, White, Never-married,3, Own-child,100999, 11th,7, Self-emp-not-inc, Adm-clerical,0,0,30,39, United-States,0
28, Male, White, Married-civ-spouse,0, Husband,156257, Some-college,10, Private, Craft-repair,0,0,60,39, United-States,1
28, Male, White, Separated,2, Other-relative,204600, HS-grad,9, Private, Protective-serv,0,0,40,39, United-States,0
35, Male, White, Married-civ-spouse,0, Husband,126675, HS-grad,9, Private, Exec-managerial,0,0,48,39, United-States,0
38, Male, Black, Never-married,3, Own-child,279315, HS-grad,9, Private, Other-service,0,0,40,39, United-States,0
48, Male, Asian-Pac-Islander, Married-civ-spouse,0, Husband,91251, 7th-8th,4, Private, Other-service,0,0,30,3, China,0
23, Male, Black, Never-married,3, Own-child,291407, Some-college,10, Private, Sales,0,0,25,39, United-States,0
21, Male, White, Never-married,1, Not-in-family,32732, Some-college,10, Private, Sales,0,0,40,39, United-States,0
21, Male, White, Never-married,3, Own-child,278391, Some-college,10, ?, ?,0,0,16,39, United-States,0
58, Male, White, Married-civ-spouse,0, Husband,104333, Some-college,10, Private, Craft-repair,0,0,40,39, United-States,1
48, Female, White, Divorced,4, Unmarried,54759, HS-grad,9, Private, Prof-specialty,0,0,38,39, United-States,0
23, Female, White, Married-civ-spouse,5, Wife,169188, Some-college,10, Private, Exec-managerial,0,0,25,39, United-States,0
32, Female, White, Never-married,1, Not-in-family,118551, Masters,14, Private, Exec-managerial,0,0,45,39, United-States,1
25, Male, White, Never-married,1, Not-in-family,242464, Bachelors,13, Private, Adm-clerical,0,0,40,39, United-States,0
23, Female, White, Never-married,3, Own-child,170091, Some-college,10, State-gov, Prof-specialty,0,0,6,39, United-States,0
43, Female, White, Married-civ-spouse,5, Wife,105862, Some-college,10, Local-gov, Adm-clerical,0,1902,40,39, United-States,1
43, Male, White, Never-married,1, Not-in-family,144778, Bachelors,13, Federal-gov, Exec-managerial,0,0,40,39, United-States,1
23, Female, White, Never-married,1, Not-in-family,305498, Assoc-voc,11, State-gov, Tech-support,0,0,40,39, United-States,0
35, Male, White, Married-civ-spouse,0, Husband,171968, HS-grad,9, Private, Machine-op-inspct,0,0,40,39, United-States,0
61, Male, White, Married-civ-spouse,0, Husband,129246, 10th,6, Private, Craft-repair,0,0,48,39, United-States,0
33, Male, Asian-Pac-Islander, Never-married,3, Own-child,69251, Assoc-voc,11, Private, Sales,0,0,40,30, Philippines,0
41, Female, Black, Separated,4, Unmarried,190591, HS-grad,9, Private, Other-service,0,0,20,39, United-States,0
40, Male, White, Married-civ-spouse,0, Husband,252392, 5th-6th,3, Private, Other-service,0,0,40,26, Mexico,0
45, Male, Black, Married-civ-spouse,0, Husband,261192, HS-grad,9, Private, Other-service,0,0,40,39, United-States,0
48, Female, White, Married-civ-spouse,5, Wife,31264, Some-college,10, Local-gov, Exec-managerial,5178,0,40,39, United-States,1
58, Male, White, Married-civ-spouse,0, Husband,209423, 1st-4th,2, Private, Other-service,0,0,38,5, Cuba,0
58, Male, White, Married-civ-spouse,0, Husband,34788, Some-college,10, Private, Sales,0,1887,40,39, United-States,1
22, Female, White, Never-married,3, Own-child,127647, HS-grad,9, Private, Other-service,0,0,36,39, United-States,0
53, Male, White, Married-civ-spouse,0, Husband,240914, Some-college,10, Private, Craft-repair,0,0,40,39, United-States,0
32, Male, White, Never-married,4, Unmarried,244147, HS-grad,9, Private, Craft-repair,0,0,10,39, United-States,0
22, Male, White, Married-civ-spouse,0, Husband,180449, Some-college,10, Private, Handlers-cleaners,0,0,28,39, United-States,0
26, Female, Black, Never-married,4, Unmarried,159897, Some-college,10, Private, Exec-managerial,0,0,40,39, United-States,0
23, Female, White, Never-married,1, Not-in-family,193090, Bachelors,13, Private, Prof-specialty,0,0,38,39, United-States,0
18, Female, White, Never-married,1, Not-in-family,301814, HS-grad,9, Private, Sales,0,0,20,39, United-States,0
41, Male, White, Married-civ-spouse,0, Husband,220531, Doctorate,16, Private, Prof-specialty,0,0,50,39, United-States,1
29, Male, White, Married-civ-spouse,0, Husband,149324, Some-college,10, Private, Craft-repair,0,1485,40,39, United-States,1
29, Male, White, Married-civ-spouse,0, Husband,132874, HS-grad,9, Private, Craft-repair,0,0,40,39, United-States,0
26, Female, White, Divorced,3, Own-child,176008, HS-grad,9, Private, Adm-clerical,0,0,40,39, United-States,0
45, Male, White, Married-civ-spouse,0, Husband,168038, Bachelors,13, Private, Exec-managerial,0,0,32,39, United-States,0
33, Male, White, Married-civ-spouse,0, Husband,192256, Bachelors,13, Self-emp-not-inc, Craft-repair,0,0,50,39, United-States,0
47, Male, White, Divorced,1, Not-in-family,233511, Masters,14, Private, Sales,27828,0,60,39, United-States,1
49, Male, White, Never-married,2, Other-relative,240869, 7th-8th,4, Private, Other-service,0,0,35,39, United-States,0
39, Female, White, Divorced,1, Not-in-family,245361, Bachelors,13, Private, Exec-managerial,0,0,25,39, United-States,0
21, Male, White, Never-married,2, Other-relative,252024, HS-grad,9, Private, Handlers-cleaners,0,0,20,26, Mexico,0
26, Male, White, Never-married,3, Own-child,120268, Bachelors,13, Private, Adm-clerical,0,0,24,39, United-States,0
30, Female, Asian-Pac-Islander, Separated,4, Unmarried,88913, Some-college,10, Private, Other-service,0,0,40,39, United-States,0
47, Male, Black, Married-civ-spouse,0, Husband,402975, Some-college,10, Federal-gov, Exec-managerial,0,0,40,39, United-States,0
49, Male, White, Divorced,4, Unmarried,259323, HS-grad,9, Private, Craft-repair,0,0,40,39, United-States,0
36, Female, White, Married-civ-spouse,5, Wife,340091, Doctorate,16, State-gov, Prof-specialty,0,0,36,39, United-States,1
27, Male, White, Married-civ-spouse,0, Husband,185670, Bachelors,13, Private, Sales,0,0,60,39, United-States,1
47, Male, White, Married-civ-spouse,0, Husband,148576, Prof-school,15, Local-gov, Prof-specialty,0,0,35,39, United-States,0
51, Male, White, Never-married,1, Not-in-family,64643, HS-grad,9, Private, Farming-fishing,0,0,60,0, ?,0
50, Male, White, Married-civ-spouse,0, Husband,356619, HS-grad,9, State-gov, Prof-specialty,0,0,48,39, United-States,1
40, Male, White, Married-civ-spouse,0, Husband,260761, Bachelors,13, Private, Adm-clerical,0,0,40,26, Mexico,0
34, Male, White, Married-civ-spouse,0, Husband,154120, Masters,14, Self-emp-inc, Sales,0,0,60,39, United-States,1
37, Male, White, Married-civ-spouse,0, Husband,214738, HS-grad,9, Private, Machine-op-inspct,0,0,40,39, United-States,0
66, Male, White, Married-civ-spouse,0, Husband,186324, Bachelors,13, Private, Sales,0,0,5,39, United-States,1
48, Male, White, Married-civ-spouse,0, Husband,96359, Bachelors,13, Private, Exec-managerial,0,0,60,12, Greece,1
54, Female, White, Divorced,4, Unmarried,177675, HS-grad,9, Private, Adm-clerical,0,0,42,39, United-States,0
38, Male, White, Married-civ-spouse,0, Husband,190759, 11th,7, Private, Craft-repair,0,0,40,39, United-States,0
50, Male, Asian-Pac-Islander, Married-civ-spouse,0, Husband,339547, Prof-school,15, Local-gov, Adm-clerical,0,0,40,25, Laos,1
22, Female, White, Never-married,1, Not-in-family,117363, Some-college,10, Private, Adm-clerical,0,0,35,39, United-States,0
42, Female, White, Divorced,4, Unmarried,66460, Some-college,10, Private, Exec-managerial,0,0,45,39, United-States,0
50, Male, Asian-Pac-Islander, Married-civ-spouse,0, Husband,302708, Bachelors,13, Self-emp-inc, Exec-managerial,7688,0,50,24, Japan,1
29, Female, White, Divorced,4, Unmarried,65372, Some-college,10, ?, ?,0,0,40,39, United-States,0
49, Male, White, Married-civ-spouse,0, Husband,203067, Some-college,10, Private, Prof-specialty,0,0,40,39, United-States,1
35, Female, White, Never-married,1, Not-in-family,190174, Some-college,10, Private, Exec-managerial,0,0,40,39, United-States,0
19, Female, White, Never-married,3, Own-child,57145, HS-grad,9, Private, Other-service,0,0,25,39, United-States,0
47, Male, White, Married-civ-spouse,0, Husband,359461, Bachelors,13, Private, Craft-repair,0,0,40,39, United-States,0
27, Male, White, Married-civ-spouse,0, Husband,133696, Some-college,10, Private, Prof-specialty,0,0,88,39, United-States,0
53, Male, White, Married-civ-spouse,0, Husband,228500, HS-grad,9, Private, Machine-op-inspct,0,0,40,39, United-States,1
30, Male, White, Married-civ-spouse,0, Husband,197558, HS-grad,9, Private, Handlers-cleaners,0,0,40,39, United-States,0
47, Male, White, Married-civ-spouse,0, Husband,101684, HS-grad,9, Private, Craft-repair,0,0,40,39, United-States,0
45, Female, White, Divorced,4, Unmarried,164427, Bachelors,13, Local-gov, Prof-specialty,0,0,40,39, United-States,0
19, Female, White, Never-married,1, Not-in-family,356272, Some-college,10, Private, Adm-clerical,0,0,25,39, United-States,0
52, Male, White, Married-spouse-absent,1, Not-in-family,89041, Bachelors,13, Private, Prof-specialty,0,0,30,39, United-States,1
47, Male, White, Divorced,1, Not-in-family,150768, Bachelors,13, Private, Handlers-cleaners,0,1564,51,39, United-States,1
68, Female, White, Widowed,4, Unmarried,214521, Prof-school,15, Private, Prof-specialty,0,0,16,39, United-States,0
46, Male, White, Divorced,1, Not-in-family,45363, Prof-school,15, Private, Prof-specialty,0,2824,40,39, United-States,1
41, Male, White, Married-civ-spouse,0, Husband,126094, HS-grad,9, Self-emp-not-inc, Exec-managerial,0,0,38,39, United-States,0
41, Male, White, Married-civ-spouse,0, Husband,125831, HS-grad,9, Self-emp-inc, Sales,0,1887,55,39, United-States,1
25, Male, White, Married-civ-spouse,0, Husband,75759, HS-grad,9, Private, Transport-moving,0,0,44,39, United-States,1
36, Male, White, Married-civ-spouse,0, Husband,68273, Bachelors,13, Private, Sales,0,0,40,39, United-States,1
63, Male, White, Widowed,4, Unmarried,181929, HS-grad,9, Private, Exec-managerial,0,0,50,39, United-States,1
34, Male, White, Married-civ-spouse,0, Husband,202046, HS-grad,9, Private, Craft-repair,0,0,35,39, United-States,1
54, Female, White, Divorced,4, Unmarried,21698, 10th,6, Private, Other-service,0,0,40,39, United-States,0
28, Male, White, Never-married,1, Not-in-family,72443, Some-college,10, Private, Exec-managerial,0,1669,60,39, United-States,0
61, Female, White, Widowed,1, Not-in-family,161279, HS-grad,9, ?, ?,0,0,36,39, United-States,0
36, Male, White, Married-civ-spouse,0, Husband,136343, Bachelors,13, Private, Prof-specialty,0,0,40,39, United-States,1
23, Female, White, Never-married,3, Own-child,104443, Some-college,10, Private, Adm-clerical,0,0,40,39, United-States,0
33, Male, White, Married-civ-spouse,0, Husband,206609, HS-grad,9, Self-emp-inc, Exec-managerial,0,0,50,39, United-States,0
67, Male, White, Married-civ-spouse,0, Husband,101132, 7th-8th,4, Private, Craft-repair,1797,0,40,39, United-States,0
30, Male, White, Never-married,1, Not-in-family,113129, Some-college,10, Private, Other-service,0,0,24,39, United-States,0
21, Male, White, Never-married,4, Unmarried,190227, HS-grad,9, Private, Adm-clerical,0,0,40,39, United-States,0
41, Male, White, Married-civ-spouse,0, Husband,67065, Assoc-voc,11, Private, Sales,0,0,40,39, United-States,0
21, Female, White, Never-married,1, Not-in-family,96844, Some-college,10, Private, Adm-clerical,0,0,20,39, United-States,0
75, Male, Asian-Pac-Islander, Widowed,2, Other-relative,81534, HS-grad,9, Self-emp-inc, Sales,0,0,35,39, United-States,1
47, Male, White, Married-civ-spouse,0, Husband,148884, HS-grad,9, Private, Transport-moving,0,0,60,39, United-States,0
40, Female, White, Divorced,1, Not-in-family,197012, Bachelors,13, Local-gov, Tech-support,8614,0,40,9, England,1
49, Female, White, Married-civ-spouse,5, Wife,266150, HS-grad,9, Private, Machine-op-inspct,0,0,40,39, United-States,0
24, Female, White, Never-married,1, Not-in-family,103064, Bachelors,13, Private, Prof-specialty,0,0,40,39, United-States,0
20, Male, White, Never-married,3, Own-child,278155, Some-college,10, Private, Adm-clerical,0,0,40,39, United-States,0
28, Male, White, Never-married,3, Own-child,159001, HS-grad,9, Private, Handlers-cleaners,0,0,30,39, United-States,0
53, Male, Black, Married-civ-spouse,0, Husband,208321, HS-grad,9, Private, Other-service,0,1740,40,39, United-States,0
28, Female, White, Never-married,4, Unmarried,66434, 10th,6, Private, Other-service,0,0,15,39, United-States,0
24, Male, White, Never-married,1, Not-in-family,232918, Bachelors,13, State-gov, Prof-specialty,0,0,20,39, United-States,0
43, Male, White, Married-civ-spouse,0, Husband,260960, Bachelors,13, State-gov, Prof-specialty,0,0,50,39, United-States,0
30, Male, White, Married-civ-spouse,0, Husband,45796, Some-college,10, Self-emp-not-inc, Machine-op-inspct,0,0,40,39, United-States,0
45, Male, White, Married-civ-spouse,0, Husband,252079, Some-college,10, Private, Prof-specialty,0,0,50,39, United-States,1
24, Female, White, Never-married,1, Not-in-family,215251, Bachelors,13, Private, Exec-managerial,0,0,50,39, United-States,0
34, Female, Black, Separated,4, Unmarried,184147, HS-grad,9, Private, Sales,0,0,20,39, United-States,0
31, Male, White, Never-married,1, Not-in-family,218322, Some-college,10, Private, Other-service,0,0,30,39, United-States,0
29, Male, White, Never-married,1, Not-in-family,48895, HS-grad,9, Private, Craft-repair,0,0,50,39, United-States,0
46, Male, White, Married-civ-spouse,0, Husband,249935, Doctorate,16, Private, Prof-specialty,0,0,70,39, United-States,0
20, Female, White, Never-married,4, Unmarried,137300, Assoc-voc,11, Private, Machine-op-inspct,0,0,40,39, United-States,0
38, Male, Black, Widowed,4, Unmarried,254439, 10th,6, Private, Transport-moving,114,0,40,39, United-States,0
68, Female, White, Widowed,4, Unmarried,223486, HS-grad,9, Private, Other-service,0,0,7,9, England,0
27, Male, White, Married-civ-spouse,0, Husband,120126, Bachelors,13, Self-emp-inc, Exec-managerial,0,1887,45,39, United-States,1
34, Male, White, Married-civ-spouse,0, Husband,177675, Bachelors,13, Local-gov, Exec-managerial,0,0,55,39, United-States,1
25, Female, White, Never-married,1, Not-in-family,234057, HS-grad,9, Private, Craft-repair,0,0,40,39, United-States,0
26, Male, White, Never-married,3, Own-child,164386, HS-grad,9, Private, Craft-repair,0,0,48,39, United-States,0
36, Male, White, Married-civ-spouse,0, Husband,117381, HS-grad,9, Private, Machine-op-inspct,0,0,40,39, United-States,0
33, Male, White, Married-civ-spouse,0, Husband,279173, HS-grad,9, Private, Prof-specialty,0,0,60,39, United-States,0
37, Male, White, Never-married,1, Not-in-family,116960, Bachelors,13, Private, Prof-specialty,0,0,45,39, United-States,1
28, Male, White, Never-married,3, Own-child,115549, Some-college,10, Private, Machine-op-inspct,0,0,60,39, United-States,0
21, Female, White, Never-married,4, Unmarried,356772, HS-grad,9, ?, ?,0,0,40,39, United-States,0
24, Female, White, Never-married,4, Unmarried,188300, 11th,7, Private, Machine-op-inspct,0,0,40,39, United-States,0
